text,label
Follow-up scheduled for anemia management.,medical
Counsel for the claimant argued regarding intellectual property under state law.,legal
Breaking: Microsoft has won the award for intellectual property.,news
Patient shows signs of shortness of breath and insomnia.,medical
Defendant's counsel submitted evidence in the deposition.,legal
Major developments in fraud expected to reshape the finance landscape.,news
Medication adjustment recommended due to normal ranges in recent colonoscopy.,medical
Counsel for the claimant argued regarding negligence under state law.,legal
Apple Inc announced a new partnership with Adobe today.,news
The patient reported muscle weakness after taking Metoprolol.,medical
Terms and conditions outlined in the disclosure statement address intellectual property.,legal
NASA announced a new partnership with Salesforce today.,news
Diagnosis of arthritis confirmed via liver function test.,medical
Defendant's counsel submitted evidence in the deposition.,legal
Microsoft CEO declared that the company is expanding into automotive.,news
Patient prescribed Atorvastatin for bronchitis.,medical
Legal precedent establishes that property rights falls under jurisdiction of the Federal Court.,legal
Industry experts report a resurgence in global agriculture market.,news
Doctor recommends imaging via urinalysis to rule out anxiety disorder.,medical
Statute 232 prohibits specific performance as determined by the District Court.,legal
Major developments in employment disputes expected to reshape the finance landscape.,news
The patient reported headache after taking Albuterol.,medical
Statute 335 prohibits restitution as determined by the Magistrate Court.,legal
Johnson & Johnson launched a new initiative to address breach of contract.,news
The patient reported vertigo after taking Sertraline.,medical
The court ruled that the petitioner is liable for compensation.,legal
Breaking: Toyota has won the award for property rights.,news
Laboratory results for urinalysis indicate minor abnormalities.,medical
Clause 386 of the agreement specifies terms for property rights.,legal
NASA launched a new initiative to address breach of contract.,news
Patient shows signs of acute pain and joint pain.,medical
The disclosure statement was executed by both parties to settle disputes regarding compensation.,legal
NASA CEO declared that the company is expanding into automotive.,news
Laboratory results for X-ray indicate within expected parameters.,medical
The court ruled that the respondent is liable for damages.,legal
Stock prices for NASA surged following news of fraud.,news
Clinical evaluation reveals positive indicators in X-ray.,medical
The complainant filed a motion for preliminary injunction in the Circuit Court.,legal
Analysts predict a contraction in the agriculture sector over the next quarter.,news
Treatment plan involves Metformin and lifestyle modifications for depression.,medical
Clause 291 of the agreement specifies terms for tax evasion.,legal
The Tesla partnership aims to revolutionize automotive sector.,news
Patient compliance with Atorvastatin regimen is essential.,medical
Statute 494 prohibits specific performance as determined by the State Court.,legal
The government is considering new legislation regarding intellectual property.,news
Diagnosis of gastritis confirmed via CT scan.,medical
Terms and conditions outlined in the merger agreement address employment disputes.,legal
The government is considering new legislation regarding employment disputes.,news
Doctor recommends imaging via EKG to rule out anxiety disorder.,medical
The affidavit was executed by both parties to settle disputes regarding declaratory relief.,legal
Economic indicators suggest a stabilization across the retail industry.,news
Medication adjustment recommended due to borderline results in recent biopsy.,medical
Statutory obligations require review of the memorandum for trademark infringement.,legal
Intel Corporation launched a new initiative to address property rights.,news
Treatment plan involves Albuterol and lifestyle modifications for bronchitis.,medical
The legal representative filed a motion for appeal in the Appellate Division.,legal
Economic indicators suggest a slowdown across the finance industry.,news
Diagnosis of asthma confirmed via X-ray.,medical
Counsel for the petitioner argued regarding negligence under state law.,legal
Intel Corporation announced a new partnership with Twitter today.,news
Physical examination shows signs of fatigue consistent with asthma.,medical
The legal team is reviewing the deposition for potential damages.,legal
Analysts predict a period of volatility in the automotive sector over the next quarter.,news
Diagnosis of pneumonia confirmed via EKG.,medical
Statute 159 prohibits injunctive relief as determined by the Supreme Court.,legal
Intel Corporation CEO declared that the company is expanding into real estate.,news
The patient reported shortness of breath after taking Aspirin.,medical
Counsel for the petitioner argued regarding property rights under state law.,legal
NASA launched a new initiative to address fraud.,news
Laboratory results for liver function test indicate positive indicators.,medical
Counsel for the opposing counsel argued regarding employment disputes under state law.,legal
The IBM partnership aims to revolutionize retail sector.,news
Clinical evaluation reveals critical values in MRI scan.,medical
Defendant's counsel submitted evidence in the contract.,legal
Microsoft launched a new initiative to address fraud.,news
Patient shows signs of vertigo and chest discomfort.,medical
Clause 75 of the agreement specifies terms for fraud.,legal
Stock prices for Johnson & Johnson surged following news of negligence.,news
Doctor recommends imaging via X-ray to rule out thyroid dysfunction.,medical
The appellant appealed the decision on grounds of punitive damages.,legal
Stock prices for Google surged following news of liability.,news
The patient reported muscle weakness after taking Lisinopril.,medical
Statutory obligations require review of the affidavit for breach of contract.,legal
Industry experts report a stabilization in global automotive market.,news
Laboratory results for MRI scan indicate critical values.,medical
Defendant's counsel submitted evidence in the merger agreement.,legal
Industry experts report a steady decline in global finance market.,news
Diagnosis of asthma confirmed via X-ray.,medical
Defendant's counsel submitted evidence in the disclosure statement.,legal
Industry experts report a slowdown in global agriculture market.,news
Clinical evaluation reveals positive indicators in ultrasound.,medical
Clause 465 of the agreement specifies terms for intellectual property.,legal
Stock prices for Apple Inc surged following news of negligence.,news
Patient prescribed Sertraline for anemia.,medical
Terms and conditions outlined in the memorandum address negligence.,legal
Breaking: Intel Corporation has won the award for employment disputes.,news
Patient prescribed Lisinopril for anemia.,medical
The opposing counsel filed a motion for continuance in the Superior Court.,legal
Johnson & Johnson CEO declared that the company is expanding into agriculture.,news
Patient prescribed Hydrocodone for gastritis.,medical
Statutory obligations require review of the deposition for breach of contract.,legal
Stock prices for Toyota surged following news of breach of contract.,news
The patient reported acute pain after taking Atorvastatin.,medical
The legal team is reviewing the affidavit for potential punitive damages.,legal
Apple Inc CEO declared that the company is expanding into telecommunications.,news
The patient reported vertigo after taking Lisinopril.,medical
Statutory obligations require review of the merger agreement for breach of contract.,legal
Economic indicators suggest a recovery across the finance industry.,news
Doctor recommends imaging via liver function test to rule out asthma.,medical
Counsel for the defendant argued regarding liability under state law.,legal
NASA announced a new partnership with IBM today.,news
Patient compliance with Aspirin regimen is essential.,medical
The plaintiff appealed the decision on grounds of declaratory relief.,legal
Johnson & Johnson launched a new initiative to address fraud.,news
Follow-up scheduled for bronchitis management.,medical
Clause 239 of the agreement specifies terms for trademark infringement.,legal
Economic indicators suggest a resurgence across the telecommunications industry.,news
Laboratory results for MRI scan indicate normal ranges.,medical
Legal precedent establishes that breach of contract falls under jurisdiction of the Circuit Court.,legal
Google announced a new partnership with United Nations today.,news
Follow-up scheduled for anemia management.,medical
The court ruled that the opposing counsel is liable for restitution.,legal
The government is considering new legislation regarding property rights.,news
Patient prescribed Albuterol for anemia.,medical
The legal team is reviewing the complaint for potential declaratory relief.,legal
The government is considering new legislation regarding tax evasion.,news
Laboratory results for colonoscopy indicate minor abnormalities.,medical
The contract was executed by both parties to settle disputes regarding injunctive relief.,legal
Markets reacted negatively to the latest report on employment disputes.,news
Clinical evaluation reveals normal ranges in CT scan.,medical
Legal precedent establishes that negligence falls under jurisdiction of the Superior Court.,legal
The Federal Reserve launched a new initiative to address negligence.,news
Laboratory results for MRI scan indicate elevated levels.,medical
Statutory obligations require review of the disclosure statement for trademark infringement.,legal
Markets reacted positively to the latest report on trademark infringement.,news
Doctor recommends imaging via ECG to rule out anxiety disorder.,medical
Statutory obligations require review of the affidavit for property rights.,legal
